Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
47750	630	489	274	0	2	0	0	1631600	147	120	0	0	3	790028	0	1565645	6	973660	12	931433	1436388
48000	538	532	278	15	13	0	0	1625435	130	149	0	0	3	768786	0	1608651	7	1026544	39	938087	1459251
48250	591	621	250	59	3	0	0	1633654	171	75	0	0	8	810276	0	1597227	21	998015	0	927868	1441782
48500	750	503	276	0	2	0	0	1636590	123	115	0	0	6	791303	0	1618093	6	1013308	0	933909	1470941
48750	709	539	288	0	15	37	0	1654830	136	104	0	0	2	824403	3	1590478	10	1064222	0	938570	1473540
49000	757	521	250	0	1	0	0	1671990	116	176	0	0	47	829970	0	1637053	6	1021056	0	955027	1494058
49250	584	713	250	73	15	0	0	1658560	186	73	12	0	29	811372	0	1794535	20	1037465	0	969425	1468977
49500	5132	638	265	25	5	0	0	1694919	214	108	0	0	2	827731	0	1629858	9	1040067	0	982848	1511624
49750	560	636	262	25	22	0	0	1705688	315	298	12	0	0	854236	12	1650183	6	1100148	0	959751	1482031
50000	573	634	250	13	5	0	0	1696194	239	56	12	0	1	847934	1	1665053	20	1062529	0	965114	1497812
50250	586	570	250	1	4	0	0	1687295	173	97	30	0	1	854485	27	1654031	7	1116749	0	975761	1478932
50500	570	705	260	1	0	0	0	1723330	126	72	14	0	152	851388	0	1659163	7	1036831	0	1014278	1510795
50750	559	737	250	0	17	0	0	1734421	165	123	0	0	17	878927	44	1659195	34	1042487	0	1011398	1535943
51000	532	699	287	0	1	0	0	1735081	152	153	0	0	156	863564	0	1699508	7	1072977	0	1031987	1541473
51250	552	862	261	25	12	0	0	1733983	176	184	0	0	10	863966	0	1696766	8	1068830	0	1044202	1580750
51500	518	544	286	0	8	0	0	1746053	278	4333	0	0	2	860772	10	1719030	66	1068778	0	1078724	1569478
51750	538	586	279	0	3	0	9	1873762	174	71	25	0	0	882363	0	1719705	8	1079515	12	1147270	1574792
52000	565	686	284	1	41	26	0	1774020	207	78	0	0	4	883031	50	1715525	6	1066810	0	1074205	1559127
52250	570	1411	250	0	15	26	0	1797699	156	77	0	0	1	902344	12	1721026	22	1092380	0	1068957	1595903
52500	532	699	262	0	15	26	9	1782321	216	99	12	0	25	875227	0	1729422	7	1094488	0	1052444	1579291
52750	545	1886	264	14	36	0	0	1805506	199	84	18	0	2	903629	0	1721952	6	1123510	0	1029171	1580691
53000	659	880	310	0	22	0	0	1821896	167	45	12	12	27	914659	0	1740734	34	1099769	0	1069067	1604078
53250	610	560	12	0	6	0	13	1830707	160	107	12	0	27	1029922	26	1751932	6	1143265	0	1164317	1617223
53500	281	432	29	99	1	4	0	1048512	80	63	0	0	0	540903	27	1020116	5	804045	0	703010	929332

